3551,4169,11327,31785,6154,9348,12548,4233,90443,5052,12643,2858,9413,4394,18466,38855,13743,22716,27059
3030,3964,14806,25622,7517,13305,8626,6525,6248,29204,5699,23830,27315,7026,18158,31702,22825,20752,26709
16058,4903,10632,5106,11636,1358,9112,12330,23041,15370,7049,4632,19792,24784,18112,20692,17473,20425,26689
5680,2563,12926,4428,5606,8260,7617,,19865,24260,11940,12944,14578,7455,17120,17321,11046,20299,26080
6948,7700,13579,6044,7185,7081,15593,,19917,14059,26059,5330,22894,64456,17029,7477,20991,20044,25190
6390,9904,9275,5852,1136,9827,74248,,13740,20050,4623,10287,17686,6753,16790,3055,23066,18258,24375
21833,7200,12377,5742,780,10741,10356,,2459,13661,96715,3608,5513,45054,15549,7108,19695,17955,23040
3047,1768,5383,9758,7793,5823,5056,,13648,9206,20943,,8163,21193,13764,33928,16784,17938,19380
16589,5277,11573,6492,7030,2418,14474,,17409,19155,21188,,10760,9831,13110,25590,16284,17421,18033
18334,16779,5277,4093,5960,7365,7626,,23237,6784,19397,,4715,,12912,4043,13653,17395,17219
5818,3877,11092,18906,6477,4014,8061,,7865,6922,11087,,19687,,12635,18152,17304,16926,16941
6077,11493,9823,3982,4927,7978,21551,,7652,2931,4546,,4673,,11954,21475,18902,16241,15308
7504,10136,7241,4693,,3794,6239,,5722,6444,11196,,18803,,,2336,2949,16185,15298
16910,10338,8030,2338,,,14000,,,11185,6679,,8692,,,,34596,16125,15107
7190,4647,12706,,,,11745,,,10033,9626,,3094,,,,12653,15386,14220
10835,7616,16265,,,,7153,,,5300,2704,,,,,,12521,14561,13917
13783,3195,7000,,,,4441,,,57242,14733,,,,,,13192,14443,12929
1206,1660,5469,,,,6265,,,68205,,,,,,,17679,14440,12197
8914,8847,12987,,,,7944,,,,,,,,,,11403,10552,11859
18755,8047,10192,,,,7492,,,,,,,,,,2498,10023,11424
787,10066,10996,,,,,,,,,,,,,,1070,8062,10270
3308,5914,2176,,,,,,,,,,,,,,8350,7382,9771
7689,10290,1902,,,,,,,,,,,,,,7085,7174,8851
4950,11226,1583,,,,,,,,,,,,,,7586,7138,4238
2087,7741,3066,,,,,,,,,,,,,,5026,6199,3260
8011,1720,1564,,,,,,,,,,,,,,6271,5347,
6950,7321,2727,,,,,,,,,,,,,,4064,3788,
,9169,1609,,,,,,,,,,,,,,3210,2993,
,11370,2569,,,,,,,,,,,,,,3179,2653,
,2021,5422,,,,,,,,,,,,,,,,
,3169,1196,,,,,,,,,,,,,,,,
,10930,,,,,,,,,,,,,,,,,
,7797,,,,,,,,,,,,,,,,,
,18591,,,,,,,,,,,,,,,,,
,3188,,,,,,,,,,,,,,,,,
,2848,,,,,,,,,,,,,,,,,
,2239,,,,,,,,,,,,,,,,,
,9229,,,,,,,,,,,,,,,,,
,6355,,,,,,,,,,,,,,,,,
,8017,,,,,,,,,,,,,,,,,
,6181,,,,,,,,,,,,,,,,,
,8609,,,,,,,,,,,,,,,,,
,4188,,,,,,,,,,,,,,,,,
,811,,,,,,,,,,,,,,,,,
,2844,,,,,,,,,,,,,,,,,
,2919,,,,,,,,,,,,,,,,,
,1411,,,,,,,,,,,,,,,,,
,3734,,,,,,,,,,,,,,,,,
,3021,,,,,,,,,,,,,,,,,
,2430,,,,,,,,,,,,,,,,,
,960,,,,,,,,,,,,,,,,,
,7362,,,,,,,,,,,,,,,,,
,2570,,,,,,,,,,,,,,,,,
,567,,,,,,,,,,,,,,,,,
,2060,,,,,,,,,,,,,,,,,
